0.002	6.00E-03
0.004	1.50E-02
0.007	2.68E-02
0.01	3.87E-02
0.02	8.20E-02
0.04	3.36E-01
0.07	7.43E-01
0.1	8.58E-01
0.2	9.81E-01
0.4	1.11
0.7	1.2
1	1.31
2	1.55
4	2.38
7	3.99
10	6.93
20	14.2
30	18.1
40	21.5
50	26.3
60	32.4
70	38.4
80	43.4
100	54.8
200	101
300	149
400	204
500	233
