#********W MEAN ENERGY TO PRODUCE A e/i PAIR *****************
#*-g. de Izarra, CEA Cadarache-------------------------------- 
#* 
#*
#* Name W(eV) 
#*************************************************************
He	46.8
Ne	36.6
Ar	26.4
Ar4N2	26.4
Ar5N2	26.9
Kr	23.6
Xe	20.9
