Z;;
Z;;
Z;Yield (%);Error (%)
1;0.013350999999999998;0.000700152400195843
2;0.172668;0.00814931481509949
3;0.00011363000000000001;0.00002589987415027339
4;0.00064634;0.00009391692438660883
5;0.00057342;0.00009079160923835417
6;0.00018308;0.000047850372854242216
7;0.0;0.0
10;0.00009999999999999999;0.0
25;6.651399999999999E-10;1.3257836501480928E-10
26;5.34873E-8;8.525857298674192E-9
27;8.980796E-7;1.3214036340242483E-7
28;0.0000334019138;0.000004879487418805791
29;0.0003861051370700001;0.00005344296295980983
30;0.01037993687019;0.0011952331862089055
31;0.0648079486429;0.006097407914109857
32;0.4343046525887099;0.03549012166800606
33;0.93773944780584;0.088773903756924
34;4.3140875364517;0.2947831327676508
35;5.711262180171159;0.5554183992754922
36;15.603980058458403;0.9257340464974722
37;11.439893264558238;1.0416269080374143
38;19.739899906565135;1.1482651850737606
39;11.8971894562127;0.8990737885675575
40;18.141923469282638;1.0343649044283247
41;7.426168270203972;0.6169795856024856
42;3.86627238379939;0.32114218617649876
43;0.31658878177340005;0.05451298648476022
44;0.039109743888319996;0.0035733667815623913
45;0.03256736090131;0.0024757851611855353
46;0.03609223768139999;0.002761902563301675
47;0.03342006010336;0.0026992023437784497
48;0.041617568927569994;0.00331615482367438
49;0.35606761920296204;0.029591133667084123
50;3.8662716555651797;0.2654655010832124
51;7.426096609764008;0.6479829891061613
52;18.141752832181265;1.0368664652087756
53;12.045796223743409;1.013471692710277
54;19.739912183043902;1.1420001460054456
55;11.439786625145839;1.0342089600512165
56;15.603899248745453;0.920517400745855
57;5.711196013245759;0.5276985548110612
58;4.3140501168273095;0.29880279038641633
59;0.9377334891964699;0.09478544714718268
60;0.4343052108746299;0.0359567247531338
61;0.033069679066240004;0.005080213911436431
62;0.00944327081955;0.0011733473489591066
63;0.0005002657425200001;0.00007879293320554448
64;0.00004685966255;0.000006684106822592341
65;0.00000122122168;1.9756107664396346E-7
66;7.503133E-8;1.1597408097587538E-8
67;8.6504E-10;1.674601903498261E-10
68;0.0;0.0
69;0.0;0.0
