0.999998375009472	2.2E-07
0.994013791013109	0.004
0.990528150337198	0.007
0.989997726756081	0.0075
0.985186027127377	0.013
0.981473062059559	0.018
0.975032204288854	0.028
0.971660225808896	0.034
0.965939228612563	0.045
0.963476547700235	0.05
0.961089641585209	0.055
0.958740622868834	0.06
0.956391604152459	0.065
0.954042585436084	0.07
0.951693566719709	0.075
0.949382435401985	0.08
0.944684397969235	0.09
0.939910585739183	0.1
0.935023111313177	0.11
0.93009774948852	0.12
0.925020838069258	0.13
0.919830264454042	0.14
0.909070243237099	0.16
0.897779798439039	0.18
0.885958930059862	0.2
0.873607638099568	0.22
0.860650147760855	0.24
0.847200121239676	0.26
0.833181783738728	0.28
0.818595135258013	0.3
0.803478063196181	0.32
0.787830567553232	0.34
0.771652648329166	0.36
0.737705539137683	0.4
0.692392210350837	0.45
0.643858452678639	0.5
0.592217928317042	0.55
0.537546412063348	0.6
0.480033340910813	0.65
0.419830264454043	0.7
0.35674774569978	0.75
0.290823672046677	0.8
0.15079184663181	0.9
0	1
