0.999991523073426	2.2E-07
0.985792225505797	0.0028
0.973403046146852	0.005
0.960445555808138	0.0075
0.953398499659013	0.009
0.944760172766538	0.011
0.932711979995453	0.014
0.917708570129575	0.018
0.910434189588543	0.02
0.896681063878154	0.024
0.879063423505342	0.03
0.873834962491475	0.032
0.868833825869516	0.034
0.835758126847011	0.05
0.827119799954535	0.055
0.804046374175949	0.07
0.778131393498522	0.09
0.766651511707206	0.1
0.755739940895658	0.11
0.745396681063878	0.12
0.735508070015913	0.13
0.725960445555808	0.14
0.707888156399182	0.16
0.690838827006138	0.18
0.674357808592862	0.2
0.658445101159354	0.22
0.642987042509661	0.24
0.627642646055922	0.26
0.612639236190043	0.28
0.597749488520118	0.3
0.582859740850193	0.32
0.568083655376222	0.34
0.553193907706297	0.36
0.523414412366447	0.4
0.485792225505797	0.45
0.447488065469425	0.5
0.40816094566947	0.55
0.367810866105933	0.6
0.32632416458286	0.65
0.28370084110025	0.7
0.239713571266197	0.75
0.194476017276654	0.8
0.100022732439191	0.9
0	1

