#********MODERATION_LAWS*******************
#*
#* g. de Izarra, CEA Cadarache 
#*
#* Medium, particle, E0(MeV), Range (mg/cm²), Pow. law,a,b,c,d
#******************************************
U3O8	hffU5	68.5	5.9194	1.68523	0.504979	-0.392968	1.44402	-0.55631
U3O8	lffU5	100.5	8.3414	1.68756	 0.237881	0.372284	1.09001	 -0.703966
U3O8	alpha	10	32.416286	0.757584	 1.84072	-1.48027	0.653077	-0.0101617
He	hffU5	68.5	1.7667	1.9474	0.371676	-0.330538	1.46185	-0.502332
He	lffU5	100.5	2.3814	1.88377	0.181875	0	1.94798	-1.13481
He	alpha	10	10.27566	0.715624	2.15226	-2.19823	1.18595	-0.135721
Ne	hffU5	68.5	3.0826	1.94701	0.482	-0.523758	1.31937	-0.275141	
Ne	lffU5	100.5	4.0923	1.97044	0.285816	-0.588651	2.68603	-1.38625
Ne	alpha	10	15.1713	0.769119	1.6356	-0.16345	-1.57599	1.11144
Ar	hffU5	68.5	3.18976	1.89342	0.439171	-0.460497	 1.52129	-0.497476
Ar	lffU5	100.5	4.44288	1.78669	0.21666	-0.055917	2.16633	-1.33236
Ar	alpha	10	18.65262	0.73468	2.01921	-2.01738	1.24505	-0.243807
Kr	hffU5	68.5	4.9667	1.82467	0.489504	-0.59716	1.75308	-0.645008
Kr	lffU5	100.5	6.9265	1.79426	0.22905	-0.015357	1.93452	-1.15303
Kr	alpha	10	26.1239	0.779835	1.66836	-0.767737	-0.354017	0.458661
Xe	hffU5	68.5	5.5719	1.74601	0.453248	-0.271134	1.2716	-0.453888
Xe	lffU5	100.5	7.6864	1.77907 0.215637	0.257024	1.27873	-0.754255
Xe	alpha	10	30.17447	0.763516	1.79291	-1.30387	0.44179	0.0724911
